Clocks;Locations;Transitions;Time(s)
4;15;11;0.000304
4;15;12;0.000308
4;15;13;0.000463
4;15;14;0.000121
4;15;15;0.000196
5;1;1;0.000251
5;1;2;0.000166
5;1;3;0.00032
5;1;4;0.000258
5;1;5;0.000299
5;1;6;0.000348
5;1;7;0.00039
5;1;8;0.000836
5;1;9;0.000491
5;1;10;0.00052
5;1;11;0.000934
5;1;12;0.001421
5;1;13;0.000668
5;1;14;0.000698
5;1;15;0.000776
5;2;1;0.000123
5;2;2;0.000122
5;2;3;0.000166
5;2;4;0.000213
5;2;5;0.000212
5;2;6;0.000227
5;2;7;0.000276
5;2;8;0.000257
5;2;9;0.000627
5;2;10;0.00066
5;2;11;0.000626
5;2;12;0.00036
5;2;13;0.000492
5;2;14;0.00039
5;2;15;0.000437
5;3;1;0.000122
5;3;2;0.000122
5;3;3;0.000122
5;3;4;0.000188
5;3;5;0.000169
5;3;6;0.000169
5;3;7;0.00048
5;3;8;0.000297
5;3;9;0.000216
5;3;10;0.000258
5;3;11;0.00026
5;3;12;0.000257
5;3;13;0.000364
5;3;14;0.000309
5;3;15;0.000316
5;4;1;0.000122
5;4;2;0.000122
5;4;3;0.000124
5;4;4;0.000123
5;4;5;0.000167
5;4;6;0.000166
5;4;7;0.000169
5;4;8;0.000169
5;4;9;0.000218
5;4;10;0.000223
5;4;11;0.000241
5;4;12;0.000218
5;4;13;0.000262
5;4;14;0.000269
5;4;15;0.000263
5;5;1;0.000122
5;5;2;0.000122
5;5;3;0.000123
5;5;4;0.000124
5;5;5;0.000124
5;5;6;0.000266
5;5;7;0.000169
5;5;8;0.000176
5;5;9;0.000171
5;5;10;0.000475
5;5;11;0.000237
5;5;12;0.000243
5;5;13;0.000262
5;5;14;0.00022
5;5;15;0.000309
5;6;1;0.000121
5;6;2;0.000121
5;6;3;0.000122
5;6;4;0.000123
5;6;5;0.000124
5;6;6;0.000124
5;6;7;0.000168
5;6;8;0.000169
5;6;9;0.00017
5;6;10;0.000426
5;6;11;0.000219
5;6;12;0.000172
5;6;13;0.000219
5;6;14;0.000225
5;6;15;0.000222
5;7;1;0.000122
5;7;2;0.000122
5;7;3;0.000122
5;7;4;0.000124
5;7;5;0.000124
5;7;6;0.000128
5;7;7;0.000262
5;7;8;0.000774
5;7;9;0.000207
5;7;10;0.000171
5;7;11;0.000175
5;7;12;0.000216
5;7;13;0.000198
5;7;14;0.000181
5;7;15;0.00022
5;8;1;0.000121
5;8;2;0.000121
5;8;3;0.000161
5;8;4;0.000124
5;8;5;0.000265
5;8;6;0.000213
5;8;7;0.000146
5;8;8;0.000128
5;8;9;0.000171
5;8;10;0.000175
5;8;11;0.000171
5;8;12;0.000185
5;8;13;0.000174
5;8;14;0.000183
5;8;15;0.000175
5;9;1;0.000121
5;9;2;0.000121
5;9;3;0.000123
5;9;4;0.000124
5;9;5;0.000125
5;9;6;0.00013
5;9;7;0.000196
5;9;8;0.000127
5;9;9;0.000127
5;9;10;0.000171
5;9;11;0.000174
5;9;12;0.00017
5;9;13;0.000176
5;9;14;0.000196
5;9;15;0.000181
5;10;1;0.000122
5;10;2;0.000128
5;10;3;0.000123
5;10;4;0.000124
5;10;5;0.000126
5;10;6;0.000124
5;10;7;0.000125
5;10;8;0.000125
5;10;9;0.000127
5;10;10;0.000127
5;10;11;0.000173
5;10;12;0.000173
5;10;13;0.000173
5;10;14;0.000174
5;10;15;0.000176
5;11;1;0.000121
5;11;2;0.000121
5;11;3;0.000122
5;11;4;0.000122
5;11;5;0.000123
5;11;6;0.000124
5;11;7;0.00028
5;11;8;0.000126
5;11;9;0.000161
5;11;10;0.000145
5;11;11;0.000128
5;11;12;0.000175
5;11;13;0.000174
5;11;14;0.000173
5;11;15;0.000173
5;12;1;0.000121
5;12;2;0.000121
5;12;3;0.000122
5;12;4;0.000123
5;12;5;0.000455
5;12;6;0.000128
5;12;7;0.00014
5;12;8;0.000126
5;12;9;0.000131
5;12;10;0.000133
5;12;11;0.000129
5;12;12;0.00013
5;12;13;0.000191
5;12;14;0.000175
5;12;15;0.00018
5;13;1;0.000121
5;13;2;0.000125
5;13;3;0.000122
5;13;4;0.000124
5;13;5;0.000124
5;13;6;0.000125
5;13;7;0.000125
5;13;8;0.000127
5;13;9;0.000127
5;13;10;0.000129
5;13;11;0.000129
5;13;12;0.00013
5;13;13;0.00013
5;13;14;0.000177
5;13;15;0.000179
5;14;1;0.000121
5;14;2;0.000261
5;14;3;0.000338
5;14;4;0.000721
5;14;5;0.000127
5;14;6;0.000603
5;14;7;0.000162
5;14;8;0.000158
5;14;9;0.000134
5;14;10;0.000127
5;14;11;0.000129
5;14;12;0.000129
5;14;13;0.00013
5;14;14;0.000132
5;14;15;0.000178
5;15;1;0.000122
5;15;2;0.000122
5;15;3;0.000122
5;15;4;0.000124
5;15;5;0.000133
5;15;6;0.000125
5;15;7;0.000125
5;15;8;0.000126
5;15;9;0.000157
5;15;10;0.000137
5;15;11;0.00013
5;15;12;0.00013
5;15;13;0.000132
5;15;14;0.000205
5;15;15;0.000251
6;1;1;0.000154
6;1;2;0.000195
6;1;3;0.001018
6;1;4;0.000297
6;1;5;0.000344
6;1;6;0.000487
6;1;7;0.00054
6;1;8;0.000545
6;1;9;0.00057
6;1;10;0.00059
6;1;11;0.000643
6;1;12;0.000824
6;1;13;0.00079
6;1;14;0.000954
6;1;15;0.000827
6;2;1;0.000138
6;2;2;0.000137
6;2;3;0.000186
6;2;4;0.000188
6;2;5;0.000239
6;2;6;0.000239
6;2;7;0.000287
6;2;8;0.000291
6;2;9;0.000339
6;2;10;0.000339
6;2;11;0.000395
6;2;12;0.000393
6;2;13;0.000464
6;2;14;0.00046
6;2;15;0.000567
6;3;1;0.000143
6;3;2;0.000138
6;3;3;0.000149
6;3;4;0.000188
6;3;5;0.000189
6;3;6;0.00024
6;3;7;0.000242
6;3;8;0.000288
6;3;9;0.0003
6;3;10;0.000549
6;3;11;0.000324
6;3;12;0.000297
6;3;13;0.000346
6;3;14;0.000344
6;3;15;0.000346
6;4;1;0.000137
6;4;2;0.000137
6;4;3;0.000139
6;4;4;0.000139
6;4;5;0.000685
6;4;6;0.00019
6;4;7;0.000943
6;4;8;0.000548
6;4;9;0.00066
6;4;10;0.000706
6;4;11;0.000756
6;4;12;0.00044
6;4;13;0.000301
6;4;14;0.000297
6;4;15;0.000295
6;5;1;0.000138
6;5;2;0.00014
6;5;3;0.000138
6;5;4;0.000141
6;5;5;0.00014
6;5;6;0.000189
