Clocks;Locations;Transitions;Time(s)
3;3;12;0.0001
3;3;13;0.000107
3;3;14;0.000113
3;3;15;0.000121
3;4;1;7e-06
3;4;2;6e-06
3;4;3;7e-06
3;4;4;5.1e-05
3;4;5;6.2e-05
3;4;6;6.9e-05
3;4;7;7.2e-05
3;4;8;7.8e-05
3;4;9;8.8e-05
3;4;10;0.000107
3;4;11;0.000103
3;4;12;0.000108
3;4;13;0.000115
3;4;14;0.000121
3;4;15;0.000128
3;5;1;7e-06
3;5;2;6e-06
3;5;3;7e-06
3;5;4;6e-06
3;5;5;6.5e-05
3;5;6;7.2e-05
3;5;7;7.9e-05
3;5;8;8.6e-05
3;5;9;9.6e-05
3;5;10;0.000103
3;5;11;0.00011
3;5;12;0.000117
3;5;13;0.000144
3;5;14;0.00013
3;5;15;0.000137
3;6;1;7e-06
3;6;2;7e-06
3;6;3;6e-06
3;6;4;7e-06
3;6;5;7e-06
3;6;6;8.1e-05
3;6;7;8.5e-05
3;6;8;0.000141
3;6;9;0.000106
3;6;10;0.000109
3;6;11;0.000117
3;6;12;0.000124
3;6;13;0.000131
3;6;14;0.000138
3;6;15;0.000144
3;7;1;6e-06
3;7;2;6e-06
3;7;3;6e-06
3;7;4;6e-06
3;7;5;6e-06
3;7;6;7e-06
3;7;7;9.2e-05
3;7;8;9.9e-05
3;7;9;0.000108
3;7;10;0.000117
3;7;11;0.000123
3;7;12;0.00013
3;7;13;0.000138
3;7;14;0.000147
3;7;15;0.000152
3;8;1;6e-06
3;8;2;6e-06
3;8;3;7e-06
3;8;4;6e-06
3;8;5;9e-06
3;8;6;7e-06
3;8;7;7e-06
3;8;8;0.000107
3;8;9;0.000115
3;8;10;0.00014
3;8;11;0.000132
3;8;12;0.000137
3;8;13;0.000145
3;8;14;0.000154
3;8;15;0.00016
3;9;1;6e-06
3;9;2;6e-06
3;9;3;6e-06
3;9;4;7e-06
3;9;5;7e-06
3;9;6;7e-06
3;9;7;7e-06
3;9;8;7e-06
3;9;9;0.000123
3;9;10;0.000131
3;9;11;0.000138
3;9;12;0.000146
3;9;13;0.000155
3;9;14;0.000162
3;9;15;0.000169
3;10;1;6e-06
3;10;2;6e-06
3;10;3;6e-06
3;10;4;6e-06
3;10;5;7e-06
3;10;6;7e-06
3;10;7;7e-06
3;10;8;7e-06
3;10;9;7e-06
3;10;10;0.000138
3;10;11;0.000146
3;10;12;0.000153
3;10;13;0.00017
3;10;14;0.000169
3;10;15;0.000176
3;11;1;6e-06
3;11;2;7e-06
3;11;3;7e-06
3;11;4;7e-06
3;11;5;7e-06
3;11;6;7e-06
3;11;7;7e-06
3;11;8;7e-06
3;11;9;7e-06
3;11;10;8e-06
3;11;11;0.000153
3;11;12;0.00016
3;11;13;0.000169
3;11;14;0.000177
3;11;15;0.000185
3;12;1;6e-06
3;12;2;6e-06
3;12;3;6e-06
3;12;4;6e-06
3;12;5;7e-06
3;12;6;7e-06
3;12;7;7e-06
3;12;8;7e-06
3;12;9;7e-06
3;12;10;7e-06
3;12;11;1.7e-05
3;12;12;0.000172
3;12;13;0.000178
3;12;14;0.000186
3;12;15;0.000194
3;13;1;7e-06
3;13;2;7e-06
3;13;3;7e-06
3;13;4;7e-06
3;13;5;7e-06
3;13;6;7e-06
3;13;7;7e-06
3;13;8;7e-06
3;13;9;7e-06
3;13;10;8e-06
3;13;11;8e-06
3;13;12;8e-06
3;13;13;0.000185
3;13;14;0.000193
3;13;15;0.000202
3;14;1;6e-06
3;14;2;6e-06
3;14;3;6e-06
3;14;4;7e-06
3;14;5;6e-06
3;14;6;7e-06
3;14;7;7e-06
3;14;8;7e-06
3;14;9;7e-06
3;14;10;8e-06
3;14;11;7e-06
3;14;12;8e-06
3;14;13;8e-06
3;14;14;0.000201
3;14;15;0.000209
3;15;1;6e-06
3;15;2;6e-06
3;15;3;7e-06
3;15;4;6e-06
3;15;5;7e-06
3;15;6;7e-06
3;15;7;7e-06
3;15;8;7e-06
3;15;9;8e-06
3;15;10;8e-06
3;15;11;8e-06
3;15;12;7e-06
3;15;13;8e-06
3;15;14;8e-06
3;15;15;0.000218
4;1;1;1.5e-05
4;1;2;2.3e-05
4;1;3;3.1e-05
4;1;4;3.8e-05
4;1;5;4.7e-05
4;1;6;5.3e-05
4;1;7;6e-05
4;1;8;6.7e-05
