Clocks;Locations;Transitions;Time(s)
4;3;9;0.0004
4;3;10;0.000478
4;3;11;0.000482
4;3;12;0.000484
4;3;13;0.00057
4;3;14;0.000572
4;3;15;0.000587
4;4;1;0.000212
4;4;2;0.000219
4;4;3;0.000222
4;4;4;0.000218
4;4;5;0.000304
4;4;6;0.000311
4;4;7;0.000315
4;4;8;0.000313
4;4;9;0.000403
4;4;10;0.0004
4;4;11;0.000398
4;4;12;0.000407
4;4;13;0.000494
4;4;14;0.000498
4;4;15;0.000494
4;5;1;0.000217
4;5;2;0.000219
4;5;3;0.00022
4;5;4;0.000223
4;5;5;0.000241
4;5;6;0.000314
4;5;7;0.000312
4;5;8;0.000315
4;5;9;0.000315
4;5;10;0.000319
4;5;11;0.000408
4;5;12;0.000406
4;5;13;0.000409
4;5;14;0.000409
4;5;15;0.000414
4;6;1;0.000216
4;6;2;0.000218
4;6;3;0.000219
4;6;4;0.000222
4;6;5;0.000224
4;6;6;0.000223
4;6;7;0.000312
4;6;8;0.000313
4;6;9;0.000318
4;6;10;0.000317
4;6;11;0.000318
4;6;12;0.000319
4;6;13;0.00041
4;6;14;0.000412
4;6;15;0.000412
4;7;1;0.000299
4;7;2;0.000218
4;7;3;0.000219
4;7;4;0.000221
4;7;5;0.000224
4;7;6;0.000225
4;7;7;0.000226
4;7;8;0.000312
4;7;9;0.000313
4;7;10;0.000317
4;7;11;0.000317
4;7;12;0.000318
4;7;13;0.000319
4;7;14;0.000322
4;7;15;0.000407
4;8;1;0.000216
4;8;2;0.000218
4;8;3;0.000219
4;8;4;0.000222
4;8;5;0.000223
4;8;6;0.000225
4;8;7;0.000226
4;8;8;0.000228
4;8;9;0.000316
4;8;10;0.00031
4;8;11;0.000311
4;8;12;0.000321
4;8;13;0.000315
4;8;14;0.000315
4;8;15;0.000324
4;9;1;0.000212
4;9;2;0.000216
4;9;3;0.000215
4;9;4;0.00022
4;9;5;0.000224
4;9;6;0.000225
4;9;7;0.000225
4;9;8;0.00023
4;9;9;0.000229
4;9;10;0.000316
4;9;11;0.000318
4;9;12;0.00032
4;9;13;0.000323
4;9;14;0.000325
4;9;15;0.000324
4;10;1;0.000216
4;10;2;0.000218
4;10;3;0.00022
4;10;4;0.000222
4;10;5;0.000223
4;10;6;0.000222
4;10;7;0.000221
4;10;8;0.00023
4;10;9;0.000227
4;10;10;0.000225
4;10;11;0.000313
4;10;12;0.000319
4;10;13;0.000315
4;10;14;0.000316
4;10;15;0.000325
4;11;1;0.000211
4;11;2;0.000219
4;11;3;0.00022
4;11;4;0.000222
4;11;5;0.000224
4;11;6;0.000224
4;11;7;0.000226
4;11;8;0.000228
4;11;9;0.000232
4;11;10;0.00023
4;11;11;0.000232
4;11;12;0.000318
4;11;13;0.000321
4;11;14;0.000322
4;11;15;0.000323
4;12;1;0.000217
4;12;2;0.000219
4;12;3;0.00022
4;12;4;0.000222
4;12;5;0.000224
4;12;6;0.000225
4;12;7;0.000226
4;12;8;0.000229
4;12;9;0.00023
4;12;10;0.000231
4;12;11;0.000233
4;12;12;0.000235
4;12;13;0.000321
4;12;14;0.000322
4;12;15;0.000324
4;13;1;0.000217
4;13;2;0.000218
4;13;3;0.000218
4;13;4;0.000221
4;13;5;0.000224
4;13;6;0.000225
4;13;7;0.000226
4;13;8;0.000228
4;13;9;0.000231
4;13;10;0.00023
4;13;11;0.000233
4;13;12;0.000234
4;13;13;0.000238
4;13;14;0.000323
4;13;15;0.000324
4;14;1;0.000218
4;14;2;0.000218
4;14;3;0.00022
4;14;4;0.000222
4;14;5;0.000223
4;14;6;0.000224
4;14;7;0.000226
4;14;8;0.000228
4;14;9;0.00023
4;14;10;0.000231
4;14;11;0.000234
4;14;12;0.000235
4;14;13;0.000236
4;14;14;0.000237
4;14;15;0.000324
4;15;1;0.000216
4;15;2;0.000218
4;15;3;0.000219
4;15;4;0.000222
4;15;5;0.000222
4;15;6;0.000225
4;15;7;0.000227
4;15;8;0.000228
4;15;9;0.00023
4;15;10;0.000231
4;15;11;0.000233
4;15;12;0.000232
4;15;13;0.000236
4;15;14;0.000236
4;15;15;0.00024
5;1;1;0.00025
5;1;2;0.000348
5;1;3;0.000448
5;1;4;0.000549
5;1;5;0.000648
5;1;6;0.000737
5;1;7;0.000828
5;1;8;0.000949
5;1;9;0.001057
5;1;10;0.001165
5;1;11;0.001217
5;1;12;0.001311
5;1;13;0.001422
5;1;14;0.001522
5;1;15;0.001639
5;2;1;0.000251
5;2;2;0.000248
5;2;3;0.000345
5;2;4;0.000348
5;2;5;0.000446
5;2;6;0.000445
